project_name	run_id	duration	emissions_rate	cpu_power	gpu_power	ram_power	cpu_energy	gpu_energy	ram_energy	energy_consumed	os	python_version	codecarbon_version	cpu_count	cpu_model	gpu_count	gpu_model	ram_total_size	tracking_mode	on_cloud	pue	model	split	recall@10	mrr@10	ndcg@10	hit@10	map@10	precision@10	gauc	itemcoverage@10	averagepopularity@10	giniindex@10	shannonentropy@10	tailpercentage@10	global_emissions_kg
'DMF_movielens_split_2'	'e55ad776-6af8-4156-bebc-25af3ccbdc48'	234.4451220035553	1.092288686394886e-05	42.5	26.585485572016616	10.2771635055542	0.0027677227972282	0.0031513405766259	0.0006690620884525	0.0065881254623066	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	DMF	20%	0.0523	0.2381	0.1086	0.6029	0.0434	0.102	0.789	0.303	213.915	0.8993	0.0063	0.0	3.129359594595635
'DMF_movielens_split_4'	'eb2f589e-6e81-4733-b58b-e7f1529ccb76'	407.46494126319885	1.1888372040840398e-05	42.5	27.279029177227272	10.2771635055542	0.0048102761892808	0.0064891113023959	0.0011628453122091	0.0124622328038859	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	DMF	40%	0.0783	0.3203	0.1578	0.729	0.0694	0.1457	0.8308	0.2897	479.9059	0.9141	0.0064	0.0	5.919560581845802
'DMF_movielens_split_6'	'db8c8be3-7c10-4a53-a67b-33244a02a3c3'	615.1355845928192	1.2295813047241454e-05	42.5	37.97036471846057	10.2771635055542	0.0072619537348548	0.0104411464084654	0.00175548804727	0.0194585881905904	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	DMF	60%	0.0937	0.3812	0.196	0.7869	0.0924	0.1795	0.8482	0.279	741.2978	0.9252	0.0065	0.0	9.242829390530439
'DMF_movielens_split_8'	'eec2b5c2-8893-4bca-be43-aa1a75e2d29e'	843.1810066699982	1.2548531399211309e-05	42.5	32.885559692323824	10.2771635055542	0.0099541589733627	0.0148600943880659	0.0024062994976178	0.0272205528590464	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	DMF	80%	0.1121	0.451	0.2494	0.8265	0.1309	0.2271	0.8625	0.2887	998.2655	0.9241	0.0062	0.0	12.929762608047039
'DMF_movielens_split_10'	'9c93f797-5c1c-4106-b6fe-c63744d58b1e'	1081.082401752472	1.270404465724652e-05	42.5	29.13107791997688	10.2771635055542	0.0127626458002461	0.0194860789221844	0.0030845617284411	0.0353332864508716	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	DMF	100%	0.1414	0.5626	0.3436	0.8701	0.2187	0.3078	0.8779	0.3113	1196.3987	0.9171	0.0059	0.0	16.78331106416401
'MultiDAE_movielens_split_2'	'70cf215a-d415-4485-9875-55cc10cdebe0'	166.73755621910095	8.624854540324726e-06	42.5	24.44834921737729	10.2771635055542	0.0019684155280391	0.0012565726719238	0.0004747282120929	0.0036997164120559	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	MultiDAE	20%	0.0556	0.2496	0.1107	0.6199	0.0442	0.1019	0.8277	0.5933	232.6568	0.8583	0.0034	0.0001	1.7573652957265522
'MultiDAE_movielens_split_4'	'4b914130-3a24-47f6-b102-c29cd476d452'	150.6377136707306	8.591041543089877e-06	42.5	28.7465652322044	10.2771635055542	0.0017783506782518	0.0011245356218498	0.0004264890468255	0.0033293753469272	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	MultiDAE	40%	0.0827	0.3231	0.154	0.7435	0.0664	0.1395	0.8653	0.6418	429.5833	0.8299	0.0032	0.0	1.5814532897904199
'MultiDAE_movielens_split_6'	'e9e64968-1e5f-43af-a634-51f4b044c6cb'	142.76112031936646	8.603308716484504e-06	42.5	19.29015039175628	10.2771635055542	0.0016853615219394	0.0010670202980604	0.0004074115199332	0.0031597933399331	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	MultiDAE	60%	0.1098	0.3932	0.2028	0.831	0.0938	0.1836	0.8889	0.6567	633.6897	0.8253	0.0031	0.0	1.5009018364682223
'MultiDAE_movielens_split_8'	'315a6f20-16db-4def-a20e-ae8fe44b752f'	151.72938513755798	8.587457426187266e-06	42.5	27.41050526542763	10.2771635055542	0.0017911279767751	0.0011289439587098	0.0004320323376351	0.0033521042731201	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	MultiDAE	80%	0.1378	0.4772	0.2672	0.8873	0.1383	0.2403	0.9065	0.6736	826.4603	0.8182	0.0031	0.0001	1.5922495297320476
'MultiDAE_movielens_split_10'	'6b7219b9-03a0-48a2-9db6-40ff0e53d57f'	159.02403903007507	8.578266276860002e-06	42.5	25.09696133240742	10.2771635055542	0.0018773543882701	0.0011783278871062	0.0004538199942846	0.0035095022696609	'Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'	'3.8.5'	'2.3.4'	4.0	'AMD EPYC 7V12 64-Core Processor'	1.0	'1 x Tesla T4'	27.40576934814453	'machine'	'N'	1.0	MultiDAE	100%	0.1726	0.5988	0.369	0.9233	0.2277	0.3269	0.9214	0.6633	1028.653	0.8196	0.0031	0.0001	1.6670135780889275
